"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","35,7","10934","30634","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,7","5880","17440","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","34,5","5257","15216","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","39,5","8657","21931","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,3","7633","22955","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","36,6","3315","9061","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","38,4","4026","10494","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31","5546","17914","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,8","5947","17585","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,2","5046","16715","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","32,2","1701","5283","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","25","4","16","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","28,9","2799","9701","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","35,7","11074","31028","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","32,6","3863","11838","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","34,2","7302","21330","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","36,1","3467","9604","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31,4","5848","18635","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2002","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
