"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Verkehr","Personenwagendichte","gesamt","472,8","23108","48875","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","3","03 Maxvorstadt"
"Verkehr","Personenwagendichte","gesamt","318,5","17937","56322","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","5","05 Au - Haidhausen"
"Verkehr","Personenwagendichte","privat","330,6","29522","89286","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Verkehr","Personenwagendichte","gesamt","589","38377","65158","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","12","12 Schwabing -  Freimann"
"Verkehr","Personenwagendichte","gesamt","487,6","37806","77542","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","13","13 Bogenhausen"
"Verkehr","Personenwagendichte","privat","372","17429","46851","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","20","20 Hadern"
"Verkehr","Personenwagendichte","gesamt","389,3","18240","46851","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","20","20 Hadern"
"Verkehr","Personenwagendichte","gesamt","432,2","16798","38863","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Verkehr","Personenwagendichte","gesamt","526,1","15343","29161","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","23","23 Allach - Untermenzing"
"Verkehr","Personenwagendichte","gesamt","389,7","20190","51805","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","25","25 Laim"
"Verkehr","Personenwagendichte","gesamt","-88888888","5","","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","99","99 nicht zuzuordnen"
"Verkehr","Personenwagendichte","gesamt","354,2","16774","47357","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Personenwagendichte","gesamt","477","23097","48421","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","10","10 Moosach"
"Verkehr","Personenwagendichte","gesamt","583,5","40243","68970","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Verkehr","Personenwagendichte","gesamt","385","19058","49502","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Verkehr","Personenwagendichte","gesamt","485,8","40607","83584","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Personenwagendichte","gesamt","437,8","29002","66244","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","21","21 Pasing - Obermenzing"
