"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Ausländer/innenanteil","gesamt","37,5","27197","72506","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Ausländer/innenanteil","gesamt","29,7","31778","107164","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Ausländer/innenanteil","gesamt","28,4","16556","58245","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Ausländer/innenanteil","gesamt","96,2","25","26","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,4","21126","94257","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,8","10914","47949","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Ausländer/innenanteil","gesamt","17,8","5396","30393","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,6","8996","35102","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Ausländer/innenanteil","gesamt","23","13840","60060","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,5","9632","37769","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,5","11674","54272","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,7","17795","81947","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,9","8051","42563","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Ausländer/innenanteil","gesamt","17,1","4611","26903","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,9","289263","1264309","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Ausländer/innenanteil","gesamt","24,7","10277","41606","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,8","12178","72429","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2002","Stadtbezirk","13","13 Bogenhausen"
